Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,51,2,Some Random Commen with Id 0
1,0,5,74,1,Some Random Commen with Id 1
2,0,5,132,0,Some Random Commen with Id 2
3,0,5,44,9,Some Random Commen with Id 3
4,0,5,55,0,Some Random Commen with Id 4
5,0,5,57,3,Some Random Commen with Id 5
6,0,5,57,8,Some Random Commen with Id 6
7,0,5,10,6,Some Random Commen with Id 7
8,0,5,79,5,Some Random Commen with Id 8
9,2,4,183,9,Some Random Commen with Id 9
10,3,9,180,0,Some Random Commen with Id 10
11,3,9,102,3,Some Random Commen with Id 11
12,3,9,42,2,Some Random Commen with Id 12
13,3,9,111,1,Some Random Commen with Id 13
14,3,9,197,7,Some Random Commen with Id 14
15,3,9,105,5,Some Random Commen with Id 15
16,3,9,25,2,Some Random Commen with Id 16
17,3,9,171,9,Some Random Commen with Id 17
18,3,9,5,9,Some Random Commen with Id 18
19,4,7,161,5,Some Random Commen with Id 19
20,4,7,131,8,Some Random Commen with Id 20
21,4,7,31,2,Some Random Commen with Id 21
22,4,7,180,6,Some Random Commen with Id 22
23,4,7,110,4,Some Random Commen with Id 23
24,4,7,1,7,Some Random Commen with Id 24
25,4,7,0,8,Some Random Commen with Id 25
26,4,7,81,7,Some Random Commen with Id 26
27,5,0,44,1,Some Random Commen with Id 27
28,5,0,74,4,Some Random Commen with Id 28
29,5,0,28,2,Some Random Commen with Id 29
30,5,0,65,2,Some Random Commen with Id 30
31,5,0,120,9,Some Random Commen with Id 31
32,6,9,192,5,Some Random Commen with Id 32
33,6,9,51,2,Some Random Commen with Id 33
34,6,9,42,8,Some Random Commen with Id 34
35,6,9,82,6,Some Random Commen with Id 35
36,7,3,120,1,Some Random Commen with Id 36
37,7,3,73,5,Some Random Commen with Id 37
38,7,3,90,5,Some Random Commen with Id 38
39,7,3,45,4,Some Random Commen with Id 39
40,8,1,118,6,Some Random Commen with Id 40
41,8,1,116,3,Some Random Commen with Id 41
42,8,1,0,4,Some Random Commen with Id 42
43,8,1,160,3,Some Random Commen with Id 43
44,10,7,65,3,Some Random Commen with Id 44
45,10,7,197,2,Some Random Commen with Id 45
46,10,7,168,8,Some Random Commen with Id 46
47,10,7,5,7,Some Random Commen with Id 47
48,10,7,93,4,Some Random Commen with Id 48
49,10,7,12,6,Some Random Commen with Id 49
50,10,7,73,2,Some Random Commen with Id 50
51,10,7,117,9,Some Random Commen with Id 51
52,10,7,12,5,Some Random Commen with Id 52
53,11,8,48,9,Some Random Commen with Id 53
54,11,8,17,9,Some Random Commen with Id 54
55,11,8,90,3,Some Random Commen with Id 55
56,14,8,32,9,Some Random Commen with Id 56
57,14,8,82,8,Some Random Commen with Id 57
58,14,8,96,2,Some Random Commen with Id 58
59,14,8,196,3,Some Random Commen with Id 59
60,14,8,6,6,Some Random Commen with Id 60
61,14,8,43,4,Some Random Commen with Id 61
62,14,8,197,0,Some Random Commen with Id 62
63,14,8,157,1,Some Random Commen with Id 63
64,14,8,60,1,Some Random Commen with Id 64
65,15,5,8,4,Some Random Commen with Id 65
66,15,5,140,4,Some Random Commen with Id 66
67,15,5,164,9,Some Random Commen with Id 67
68,15,5,24,9,Some Random Commen with Id 68
69,15,5,92,6,Some Random Commen with Id 69
70,15,5,154,2,Some Random Commen with Id 70
71,15,5,74,6,Some Random Commen with Id 71
72,15,5,47,4,Some Random Commen with Id 72
73,16,1,100,5,Some Random Commen with Id 73
74,16,1,51,1,Some Random Commen with Id 74
75,16,1,84,5,Some Random Commen with Id 75
76,16,1,160,9,Some Random Commen with Id 76
77,16,1,182,0,Some Random Commen with Id 77
78,16,1,73,2,Some Random Commen with Id 78
79,17,7,152,7,Some Random Commen with Id 79
80,17,7,121,9,Some Random Commen with Id 80
81,17,7,180,2,Some Random Commen with Id 81
82,17,7,98,2,Some Random Commen with Id 82
83,18,7,173,4,Some Random Commen with Id 83
84,18,7,194,6,Some Random Commen with Id 84
85,18,7,168,5,Some Random Commen with Id 85
86,19,5,191,2,Some Random Commen with Id 86
87,19,5,63,2,Some Random Commen with Id 87
88,19,5,25,1,Some Random Commen with Id 88
89,19,5,88,8,Some Random Commen with Id 89
90,19,5,116,2,Some Random Commen with Id 90
91,19,5,101,0,Some Random Commen with Id 91
92,19,5,84,9,Some Random Commen with Id 92
93,19,5,53,1,Some Random Commen with Id 93
94,19,5,43,7,Some Random Commen with Id 94
95,20,9,163,7,Some Random Commen with Id 95
96,21,6,15,7,Some Random Commen with Id 96
97,21,6,132,8,Some Random Commen with Id 97
98,21,6,199,1,Some Random Commen with Id 98
99,21,6,130,7,Some Random Commen with Id 99
100,21,6,122,0,Some Random Commen with Id 100
101,21,6,79,1,Some Random Commen with Id 101
102,21,6,134,6,Some Random Commen with Id 102
103,22,5,99,5,Some Random Commen with Id 103
104,22,5,102,8,Some Random Commen with Id 104
105,22,5,93,7,Some Random Commen with Id 105
106,22,5,114,4,Some Random Commen with Id 106
107,22,5,56,9,Some Random Commen with Id 107
108,22,5,164,4,Some Random Commen with Id 108
109,22,5,78,0,Some Random Commen with Id 109
110,23,4,60,4,Some Random Commen with Id 110
111,23,4,60,1,Some Random Commen with Id 111
112,23,4,163,0,Some Random Commen with Id 112
113,23,4,166,8,Some Random Commen with Id 113
114,23,4,10,2,Some Random Commen with Id 114
115,23,4,21,3,Some Random Commen with Id 115
116,23,4,32,6,Some Random Commen with Id 116
117,23,4,105,2,Some Random Commen with Id 117
118,23,4,95,6,Some Random Commen with Id 118
119,24,7,20,0,Some Random Commen with Id 119
120,24,7,53,0,Some Random Commen with Id 120
121,24,7,187,4,Some Random Commen with Id 121
122,24,7,76,3,Some Random Commen with Id 122
123,24,7,152,9,Some Random Commen with Id 123
124,24,7,155,2,Some Random Commen with Id 124
125,24,7,160,4,Some Random Commen with Id 125
126,24,7,111,3,Some Random Commen with Id 126
127,24,7,70,4,Some Random Commen with Id 127
128,25,8,81,4,Some Random Commen with Id 128
129,25,8,127,9,Some Random Commen with Id 129
130,25,8,154,8,Some Random Commen with Id 130
131,25,8,68,3,Some Random Commen with Id 131
132,25,8,124,7,Some Random Commen with Id 132
133,25,8,76,8,Some Random Commen with Id 133
134,25,8,52,0,Some Random Commen with Id 134
135,25,8,192,2,Some Random Commen with Id 135
136,26,8,25,9,Some Random Commen with Id 136
137,26,8,44,9,Some Random Commen with Id 137
138,26,8,71,9,Some Random Commen with Id 138
139,26,8,127,7,Some Random Commen with Id 139
140,26,8,56,3,Some Random Commen with Id 140
141,26,8,68,4,Some Random Commen with Id 141
142,26,8,189,6,Some Random Commen with Id 142
143,28,8,41,8,Some Random Commen with Id 143
144,28,8,50,6,Some Random Commen with Id 144
145,28,8,142,5,Some Random Commen with Id 145
146,28,8,90,2,Some Random Commen with Id 146
147,28,8,26,4,Some Random Commen with Id 147
148,28,8,80,4,Some Random Commen with Id 148
149,28,8,187,9,Some Random Commen with Id 149
150,28,8,199,5,Some Random Commen with Id 150
151,29,7,112,2,Some Random Commen with Id 151
152,29,7,117,7,Some Random Commen with Id 152
153,30,7,10,8,Some Random Commen with Id 153
154,30,7,33,2,Some Random Commen with Id 154
155,30,7,40,6,Some Random Commen with Id 155
156,30,7,5,6,Some Random Commen with Id 156
157,30,7,1,6,Some Random Commen with Id 157
158,30,7,137,6,Some Random Commen with Id 158
159,30,7,89,5,Some Random Commen with Id 159
160,30,7,180,9,Some Random Commen with Id 160
161,31,3,81,0,Some Random Commen with Id 161
162,31,3,0,4,Some Random Commen with Id 162
163,32,7,172,4,Some Random Commen with Id 163
164,32,7,164,3,Some Random Commen with Id 164
165,32,7,46,4,Some Random Commen with Id 165
166,32,7,157,3,Some Random Commen with Id 166
167,32,7,92,6,Some Random Commen with Id 167
168,32,7,96,4,Some Random Commen with Id 168
169,32,7,88,2,Some Random Commen with Id 169
170,33,9,165,4,Some Random Commen with Id 170
171,33,9,171,8,Some Random Commen with Id 171
172,33,9,81,9,Some Random Commen with Id 172
173,33,9,54,8,Some Random Commen with Id 173
174,33,9,134,8,Some Random Commen with Id 174
175,33,9,174,9,Some Random Commen with Id 175
176,33,9,107,1,Some Random Commen with Id 176
177,33,9,184,6,Some Random Commen with Id 177
178,34,8,149,4,Some Random Commen with Id 178
179,34,8,166,9,Some Random Commen with Id 179
180,34,8,73,8,Some Random Commen with Id 180
181,34,8,173,4,Some Random Commen with Id 181
182,34,8,5,9,Some Random Commen with Id 182
183,34,8,87,7,Some Random Commen with Id 183
184,35,2,113,0,Some Random Commen with Id 184
185,36,4,26,6,Some Random Commen with Id 185
186,36,4,189,6,Some Random Commen with Id 186
187,36,4,52,8,Some Random Commen with Id 187
188,36,4,28,7,Some Random Commen with Id 188
189,36,4,144,5,Some Random Commen with Id 189
190,36,4,106,3,Some Random Commen with Id 190
191,36,4,102,3,Some Random Commen with Id 191
192,36,4,72,6,Some Random Commen with Id 192
193,37,0,195,1,Some Random Commen with Id 193
194,37,0,113,4,Some Random Commen with Id 194
195,37,0,181,5,Some Random Commen with Id 195
196,37,0,115,7,Some Random Commen with Id 196
197,37,0,158,1,Some Random Commen with Id 197
198,37,0,35,0,Some Random Commen with Id 198
199,37,0,58,2,Some Random Commen with Id 199
200,38,7,140,7,Some Random Commen with Id 200
201,38,7,40,8,Some Random Commen with Id 201
202,38,7,152,0,Some Random Commen with Id 202
203,38,7,51,3,Some Random Commen with Id 203
204,38,7,53,7,Some Random Commen with Id 204
205,38,7,99,1,Some Random Commen with Id 205
206,38,7,73,5,Some Random Commen with Id 206
207,38,7,164,2,Some Random Commen with Id 207
208,39,1,142,9,Some Random Commen with Id 208
209,39,1,92,5,Some Random Commen with Id 209
210,39,1,110,3,Some Random Commen with Id 210
211,39,1,176,1,Some Random Commen with Id 211
212,39,1,164,9,Some Random Commen with Id 212
213,39,1,55,8,Some Random Commen with Id 213
